2 341
3 290
4 308
5 324
6 199
7 284
8 1366
9 265
10 625
11 438
12 425
13 301
14 733
15 849
16 389
17 341
18 372
19 335
20 365
21 399
22 425
23 473
24 519
25 551
26 590
27 640
28 778
29 853
30 1055
31 1126
32 1241
33 1108
34 1408
35 2162
36 1754
37 1771
38 1207
39 1675
40 2205
41 2318
42 6152
43 2226
44 2818
45 2519
46 2688
47 6781
48 10119
49 3368
50 3491
51 3608
52 3869
53 4057
54 4261
55 8475
56 8763
57 4965
58 5211
59 9564
60 5780
61 10004
62 6277
63 10663
64 10916
65 11217
66 7519
67 7878
68 12207
69 12518
70 12884
71 13332
72 13699
73 14070
74 14438
75 14893
76 15330
77 15720
78 16153
79 16731
80 17187
81 21611
82 18052
83 22489
84 23509
85 22725
86 22404
87 22266
88 22679
89 23314
90 24270
91 22765
92 24753
93 23497
94 25612
95 27043
96 25673
97 26452
98 26896
99 29352
