2 628
3 23
4 31
5 30
6 39
7 44
8 59
9 100
10 61
11 74
12 91
13 60
14 197
15 129
16 70
17 73
18 74
19 80
20 83
21 94
22 94
23 109
24 104
25 109
26 114
27 124
28 131
29 132
30 140
31 148
32 155
33 203
34 293
35 297
36 195
37 294
38 208
39 4175
40 257
41 273
42 284
43 286
44 298
45 324
46 316
47 328
48 338
49 4321
50 312
51 320
52 325
53 337
54 4355
55 364
56 366
57 379
58 4396
59 396
60 407
61 418
62 428
63 447
64 455
65 497
66 4519
67 4528
68 530
69 553
70 558
71 569
72 581
73 596
74 603
75 4624
76 627
77 645
78 655
79 678
80 4696
81 692
82 4714
83 2696
84 773
85 800
86 1156
87 1253
88 1048
89 860
90 868
91 1228
92 890
93 970
94 920
95 1000
96 1016
97 1055
98 985
99 1022
