2 7
3 10
4 13
5 14
6 30
7 30
8 31
9 49
10 55
11 62
12 70
13 71
14 93
15 133
16 94
17 116
18 129
19 144
20 161
21 179
22 199
23 220
24 242
25 269
26 294
27 326
28 353
29 384
30 420
31 457
32 498
33 566
34 851
35 741
36 687
37 743
38 792
39 1141
40 1229
41 1317
42 1403
43 5517
44 5621
45 5717
46 1822
47 1940
48 2911
49 1583
50 5687
51 5782
52 5859
53 5964
54 2052
55 2155
56 2259
57 6400
58 2501
59 6646
60 6773
61 6907
62 7045
63 7212
64 7331
65 7519
66 7679
67 7822
68 7964
69 8158
70 8333
71 8545
72 8720
73 8898
74 9067
75 9293
76 13512
77 13737
78 13931
79 14339
80 10370
81 14606
82 10836
83 13108
84 14544
85 15424
86 15914
87 16075
88 16424
89 16885
90 14700
91 17221
92 15989
93 17909
94 19443
95 29323
96 30928
97 30037
98 22666
99 21933
